CBD,LAT,LON,THK,SRF
40,-77.876404,166.9133,9999,9999
41,-77.87479915,166.9293749,9999,9999
42,-77.87072825,167.0341794,9999,9999
43,-77.87928213,167.1223747,9999,9999
44,-77.89991012,167.1642087,9999,9999
45,-77.92095296,167.2009495,9999,9999
46,-77.94242458,167.2316907,9999,9999
47,-77.96379798,167.2641278,9999,9999
48,-77.9852841,167.2946404,9999,9999
49,-78.00693284,167.3221839,9999,9999
50,-78.02830193,167.3548974,9999,9999
51,-78.05012064,167.3796405,9999,9999
52,-78.07176446,167.4079725,9999,9999
53,-78.0934216,167.4358724,9999,9999
54,-78.11537078,167.4582164,9999,9999
55,-78.13714913,167.4842028,9999,9999
56,-78.15887802,167.5112734,9999,9999
57,-78.18036007,167.5427365,9999,9999
58,-78.20189609,167.5730886,9999,9999
59,-78.22378969,167.5970012,9999,9999
60,-78.24551648,167.6241043,9999,9999
61,-78.26663563,167.6610194,9999,9999
62,-78.28834492,167.688154,9999,9999
63,-78.31008971,167.7153609,9999,9999
64,-78.3313056,167.7511031,9999,9999
65,-78.35302638,167.7789314,9999,9999
66,-78.37454583,167.8102243,9999,9999
67,-78.39602088,167.8423672,9999,9999
68,-78.41774055,167.870408,9999,9999
69,-78.43960936,167.8954746,9999,9999
70,-78.46105988,167.9282909,9999,9999
71,-78.48280872,167.9559697,9999,9999
72,-78.50458818,167.9829306,9999,9999
73,-78.52613524,168.0135765,9999,9999
74,-78.54738822,168.0498548,9999,9999
75,-78.56906359,168.0786988,9999,9999
76,-78.59102113,168.102215,9999,9999
77,-78.61276874,168.1301728,9999,9999
78,-78.63443333,168.1599687,9999,9999
79,-78.65557378,168.1981014,9999,9999
80,-78.67692882,168.2333048,9999,9999
81,-78.69872116,168.2608052,9999,9999
82,-78.72054172,168.2877854,9999,9999
83,-78.74225848,168.3168406,9999,9999
84,-78.76370408,168.3507919,9999,9999
85,-78.78544846,168.3794961,9999,9999
86,-78.80709302,168.4102201,9999,9999
87,-78.8287355,168.4408564,9999,9999
88,-78.84998826,168.4782963,9999,9999
89,-78.87114999,168.5171857,9999,9999
90,-78.89235454,168.5555318,9999,9999
91,-78.91350382,168.5947781,9999,9999
92,-78.93455725,168.6353243,9999,9999
93,-78.95496078,168.6841475,9999,9999
94,-78.97590242,168.7265228,9999,9999
95,-78.99657702,168.7724652,9999,9999
96,-79.01729683,168.8179142,9999,9999
97,-79.03757398,168.8686726,9999,9999
98,-79.05816063,168.9159759,9999,9999
99,-79.07879632,168.9627807,9999,9999
100,-79.09942884,169.0097216,9999,9999
101,-79.12079166,169.0464076,9999,9999
102,-79.14162641,169.0908251,9999,9999
103,-79.16270965,169.131943,9999,9999
104,-79.18347513,169.1774043,9999,9999
105,-79.20442366,169.2206231,9999,9999
106,-79.22553408,169.2617377,9999,9999
107,-79.24642146,169.3058748,9999,9999
108,-79.26731039,169.349881,9999,9999
109,-79.28855123,169.3891987,9999,9999
110,-79.30953725,169.4324406,9999,9999
111,-79.33085566,169.4707997,9999,9999
112,-79.35266415,169.5001484,9999,9999
113,-79.37412014,169.5362383,9999,9999
114,-79.39501803,169.580832,9999,9999
115,-79.41550247,169.631092,9999,9999
116,-79.43580816,169.6836005,9999,9999
117,-79.45594041,169.738105,9999,9999
118,-79.47566095,169.7970994,9999,9999
119,-79.49532035,169.8568166,9999,9999
120,-79.51515057,169.914933,9999,9999
121,-79.53604809,169.9600866,9999,9999
122,-79.55750327,169.9968089,9999,9999
123,-79.57921675,170.0289562,9999,9999
124,-79.60098942,170.0599743,9999,9999
125,-79.62270163,170.0922939,9999,9999
126,-79.64434075,170.1261694,9999,9999
127,-79.66615017,170.1565995,9999,9999
128,-79.68809822,170.183871,9999,9999
129,-79.70998216,170.2127779,9999,9999
130,-79.73138204,170.2513058,9999,9999
131,-79.75214484,170.2994958,9999,9999
132,-79.77255884,170.3525483,9999,9999
133,-79.79279294,170.4078636,9999,9999
134,-79.81235403,170.4699233,9999,9999
135,-79.83127156,170.5384046,9999,9999
136,-79.85097525,170.5998287,9999,9999
137,-79.87039955,170.6638587,9999,9999
138,-79.89157973,170.70694,9999,9999
139,-79.91283934,170.7488357,9999,9999
140,-79.93375806,170.7960492,9999,9999
141,-79.95449339,170.8459638,9999,9999
142,-79.97521821,170.8961478,9999,9999
143,-79.99586984,170.947404,9999,9999
144,-80.01659814,170.997593,9999,9999
145,-80.03751906,171.0452087,9999,9999
146,-80.05827227,171.0949214,9999,9999
147,-80.07980849,171.1325232,9999,9999
148,-80.10070049,171.1810435,9999,9999
149,-80.12206254,171.2221465,9999,9999
150,-80.14297207,171.2705945,9999,9999
151,-80.16341011,171.3254688,9999,9999
152,-80.18393086,171.3794623,9999,9999
153,-80.20404143,171.4381887,9999,9999
154,-80.22434782,171.4940113,9999,9999
155,-80.24549612,171.5393628,9999,9999
156,-80.2666227,171.5851732,9999,9999
157,-80.28767279,171.6322808,9999,9999
158,-80.30837995,171.6844855,9999,9999
159,-80.32824167,171.7474179,9999,9999
160,-80.34838555,171.8072324,9999,9999
161,-80.36917715,171.8585859,9999,9999
162,-80.3901615,171.9072863,9999,9999
163,-80.41092893,171.9592618,9999,9999
164,-80.43150891,172.0140537,9999,9999
165,-80.45194321,172.0708987,9999,9999
166,-80.4720356,172.1320145,9999,9999
167,-80.4919966,172.1946617,9999,9999
168,-80.51280034,172.2464724,9999,9999
169,-80.53437453,172.2855323,9999,9999
170,-80.55527001,172.3365484,9999,9999
171,-80.5763778,172.3843166,9999,9999
172,-80.59723893,172.4360271,9999,9999
173,-80.61790954,172.4907152,9999,9999
174,-80.63903894,172.5379875,9999,9999
175,-80.66014994,172.5858502,9999,9999
176,-80.68089284,172.6398858,9999,9999
177,-80.7013662,172.6976958,9999,9999
178,-80.72142169,172.7611132,9999,9999
179,-80.74169561,172.8219497,9999,9999
180,-80.76160175,172.8874688,9999,9999
181,-80.78131264,172.9553751,9999,9999
182,-80.8015394,173.0170861,9999,9999
183,-80.82241075,173.0699085,9999,9999
184,-80.84349146,173.1196684,9999,9999
185,-80.86446635,173.1712287,9999,9999
186,-80.88530038,173.2251941,9999,9999
187,-80.90600023,173.281093,9999,9999
188,-80.92615464,173.3447291,9999,9999
189,-80.94698807,173.399103,9999,9999
190,-80.9670074,173.4647528,9999,9999
191,-80.98739908,173.5257075,9999,9999
192,-81.00821863,173.5805566,9999,9999
193,-81.02899549,173.636246,9999,9999
194,-81.04965024,173.693989,9999,9999
195,-81.07024953,173.7526311,9999,9999
196,-81.09054904,173.8156626,9999,9999
197,-81.11082063,173.8792158,9999,9999
198,-81.13118135,173.9417222,9999,9999
199,-81.15214581,173.9953222,9999,9999
200,-81.17259117,174.0568762,9999,9999
201,-81.19240063,174.126711,9999,9999
202,-81.21226149,174.1961657,9999,9999
203,-81.23227422,174.2640028,9999,9999
204,-81.25232031,174.331488,9999,9999
205,-81.27286363,174.3923061,9999,9999
206,-81.29370779,174.4483771,9999,9999
207,-81.3135923,174.5184147,9999,9999
208,-81.33447596,174.5745816,9999,9999
209,-81.3549757,174.6367653,9999,9999
210,-81.37485927,174.7073276,9999,9999
211,-81.39439267,174.782355,9999,9999
212,-81.4143612,174.8519269,9999,9999
213,-81.43496661,174.9130905,9999,9999
214,-81.45583179,174.970398,9999,9999
215,-81.4767221,175.0274028,9999,9999
216,-81.49733174,175.0890613,9999,9999
217,-81.51769305,175.154557,9999,9999
218,-81.53795606,175.2216044,9999,9999
219,-81.55684255,175.3051272,9999,9999
220,-81.57691733,175.3744927,9999,9999
221,-81.5969267,175.4452926,9999,9999
222,-81.61692967,175.5163001,9999,9999
223,-81.63737532,175.5815473,9999,9999
224,-81.65783583,175.6467323,9999,9999
225,-81.67837299,175.7109124,9999,9999
226,-81.69860956,175.7796907,9999,9999
227,-81.71886465,175.8483824,9999,9999
228,-81.73858314,175.9243221,9999,9999
229,-81.75707326,176.0137968,9999,9999
230,-81.77647417,176.0929649,9999,9999
231,-81.79625095,176.1685328,9999,9999
232,-81.81560805,176.2495497,9999,9999
233,-81.83556092,176.3234461,9999,9999
234,-81.85540011,176.3990282,9999,9999
235,-81.87547892,176.4715918,9999,9999
236,-81.89595836,176.5384482,9999,9999
237,-81.91639472,176.6061931,9999,9999
238,-81.93645413,176.6794872,9999,9999
239,-81.95661372,176.751537,9999,9999
240,-81.97697527,176.8209517,9999,9999
241,-81.99724044,176.8919846,9999,9999
242,-82.01736139,176.9652924,9999,9999
243,-82.03612926,177.0553913,9999,9999
244,-82.05629798,177.1281361,9999,9999
245,-82.07625865,177.204193,9999,9999
246,-82.09581917,177.2857343,9999,9999
247,-82.1152422,177.3692567,9999,9999
248,-82.13513182,177.4465334,9999,9999
249,-82.15544446,177.518077,9999,9999
250,-82.17484022,177.6025471,9999,9999
251,-82.19485075,177.6791655,9999,9999
252,-82.21459606,177.7596123,9999,9999
253,-82.23461872,177.8363967,9999,9999
254,-82.25398803,177.9214311,9999,9999
255,-82.27339035,178.0061082,9999,9999
256,-82.29362424,178.0804605,9999,9999
257,-82.31375753,178.1564727,9999,9999
258,-82.33338548,178.2397904,9999,9999
259,-82.35391441,178.3100611,9999,9999
260,-82.37441415,178.3810338,9999,9999
261,-82.39428552,178.4614588,9999,9999
262,-82.41398688,178.5446891,9999,9999
263,-82.43362878,178.6288976,9999,9999
264,-82.45300717,178.7167725,9999,9999
265,-82.47288806,178.7981605,9999,9999
266,-82.49207887,178.8889264,9999,9999
267,-82.51178971,178.9731062,9999,9999
268,-82.53119927,179.0614926,9999,9999
269,-82.55072419,179.1485835,9999,9999
270,-82.57002839,179.238387,9999,9999
271,-82.58818527,179.34213,9999,9999
272,-82.6059757,179.4496952,9999,9999
273,-82.62635723,179.5251571,9999,9999
274,-82.64590356,179.6130952,9999,9999
275,-82.66481706,179.7093695,9999,9999
276,-82.68351871,179.8084933,9999,9999
277,-82.70255371,179.9037662,9999,9999
278,-82.72214163,179.9919987,9999,9999
279,-82.74226724,-179.9271864,9999,9999
280,-82.76245923,-179.8472198,9999,9999
281,-82.78177477,-179.754349,9999,9999
282,-82.80046561,-179.653469,9999,9999
283,-82.8191263,-179.5519562,9999,9999
284,-82.83774144,-179.4496413,9999,9999
285,-82.85672379,-179.3516147,9999,9999
286,-82.87663238,-179.266574,9999,9999
287,-82.89669509,-179.1835615,9999,9999
288,-82.91597425,-179.0884082,9999,9999
289,-82.93503137,-178.9902016,9999,9999
290,-82.95372496,-178.887306,9999,9999
291,-82.973239,-178.7945814,9999,9999
292,-82.99311636,-178.7068956,9999,9999
293,-83.01172924,-178.6021632,9999,9999
294,-83.03078888,-178.5025721,9999,9999
295,-83.04973157,-178.4011669,9999,9999
296,-83.06826761,-178.2944791,9999,9999
297,-83.08751039,-178.1971417,9999,9999
298,-83.10682098,-178.1002103,9999,9999
299,-83.12592834,-178.0000259,9999,9999
300,-83.14449032,-177.893512,9999,9999
301,-83.16226964,-177.7768551,9999,9999
