CBD_New,LAT,LON,THK,SRF
0,-77.881699,166.7117,9999,9999
1,-77.883102,166.703506,9999,9999
2,-77.883102,166.695297,9999,9999
3,-77.883102,166.691299,9999,9999
4,-77.883102,166.691406,9999,9999
5,-77.883102,166.691498,9999,9999
6,-77.882996,166.699799,9999,9999
7,-77.882996,166.708099,9999,9999
8,-77.882996,166.708206,9999,9999
9,-77.882996,166.708298,9999,9999
10,-77.882996,166.708405,9999,9999
11,-77.882996,166.708496,9999,9999
12,-77.884293,166.707199,9999,9999
13,-77.884293,166.695007,9999,9999
14,-77.884293,166.649704,9999,9999
15,-77.886993,166.587997,9999,9999
16,-77.892502,166.535797,9999,9999
17,-77.9048,166.508301,9999,9999
18,-77.921295,166.512497,9999,9999
19,-77.936401,166.545502,9999,9999
20,-77.951508,166.603195,9999,9999
21,-77.963898,166.655502,9999,9999
22,-77.979004,166.703598,9999,9999
23,-77.995407,166.750397,9999,9999
24,-78.010498,166.792999,9999,9999
25,-78.025604,166.843903,9999,9999
26,-78.040695,166.879593,9999,9999
27,-78.054398,166.919495,9999,9999
28,-78.070908,166.951096,9999,9999
29,-78.085999,166.990997,9999,9999
30,-78.102493,167.025299,9999,9999
31,-78.119003,167.061096,9999,9999
32,-78.139603,167.096802,9999,9999
33,-78.153305,167.132599,9999,9999
34,-78.171097,167.172394,9999,9999
35,-78.187607,167.215103,9999,9999
36,-78.205505,167.254898,9999,9999
37,-78.221893,167.301697,9999,9999
38,-78.239807,167.341599,9999,9999
39,-78.256195,167.380005,9999,9999
40,-78.272705,167.419907,9999,9999
41,-78.291901,167.462494,9999,9999
42,-78.309799,167.499603,9999,9999
43,-78.328995,167.540894,9999,9999
44,-78.345505,167.579407,9999,9999
45,-78.363297,167.623398,9999,9999
46,-78.379807,167.659103,9999,9999
47,-78.399002,167.701706,9999,9999
48,-78.415497,167.738907,9999,9999
49,-78.4319,167.778702,9999,9999
50,-78.451202,167.825394,9999,9999
51,-78.468994,167.863998,9999,9999
52,-78.489594,167.907898,9999,9999
53,-78.506104,167.945099,9999,9999
54,-78.525299,167.983597,9999,9999
55,-78.544495,168.026199,9999,9999
56,-78.562393,168.063293,9999,9999
57,-78.581604,168.108704,9999,9999
58,-78.6008,168.144394,9999,9999
59,-78.621399,168.192505,9999,9999
60,-78.640594,168.237793,9999,9999
61,-78.657104,168.283203,9999,9999
62,-78.679092,168.335403,9999,9999
63,-78.688705,168.367096,9999,9999
64,-78.705093,168.4207,9999,9999
65,-78.727097,168.468796,9999,9999
66,-78.743607,168.525208,9999,9999
67,-78.762802,168.570496,9999,9999
68,-78.781998,168.629593,9999,9999
69,-78.802597,168.675003,9999,9999
70,-78.820496,168.729996,9999,9999
71,-78.839706,168.775299,9999,9999
72,-78.860199,168.838501,9999,9999
73,-78.879501,168.894897,9999,9999
74,-78.897293,168.955307,9999,9999
75,-78.917892,169.006195,9999,9999
76,-78.935806,169.061203,9999,9999
77,-78.956406,169.112106,9999,9999
78,-78.975601,169.177994,9999,9999
79,-78.996201,169.233002,9999,9999
80,-79.015396,169.293503,9999,9999
81,-79.038696,169.362198,9999,9999
82,-79.059296,169.417099,9999,9999
83,-79.078598,169.483093,9999,9999
84,-79.099106,169.536697,9999,9999
85,-79.118301,169.601303,9999,9999
86,-79.138901,169.672806,9999,9999
87,-79.1595,169.740097,9999,9999
88,-79.180206,169.814301,9999,9999
89,-79.200699,169.876205,9999,9999
90,-79.224106,169.954498,9999,9999
91,-79.247406,170.034195,9999,9999
92,-79.270798,170.104294,9999,9999
93,-79.291397,170.181198,9999,9999
94,-79.311996,170.258194,9999,9999
95,-79.335297,170.337906,9999,9999
96,-79.3573,170.416199,9999,9999
97,-79.379196,170.484894,9999,9999
98,-79.401199,170.567398,9999,9999
99,-79.425903,170.651199,9999,9999
