CBD,LAT,LON,ICE,SFC
65,-78.761093,165.591003,560,119
66,-78.783005,165.555206,569,121
67,-78.804794,165.518005,560,122
68,-78.826706,165.484802,558,120
69,-78.850006,165.449005,560,119
70,-78.870499,165.411804,556,120
71,-78.893707,165.373199,546,114
72,-78.915604,165.340195,533,115
73,-78.9375,165.308502,529,107
74,-78.962097,165.271194,515,105
75,-78.982605,165.2341,514,102
76,-79.005798,165.1996,511,102
77,-79.027695,165.159698,499,99
78,-79.049606,165.123901,494,94
79,-79.071503,165.088196,490,94
80,-79.094696,165.055099,497,98
82,-79.135696,164.984894,454,92
83,-79.1604,164.9505,451,98
84,-79.180893,164.912003,420,102
85,-79.201401,164.874893,430,99
86,-79.223297,164.844604,414,98
87,-79.245102,164.802094,417,97
88,-79.264297,164.7444,417,99
89,-79.286194,164.700394,443,98
90,-79.306702,164.656403,402,96
91,-79.328598,164.604202,406,93
92,-79.350494,164.561707,394,91
93,-79.372299,164.514999,408,88
94,-79.391495,164.472397,414,92
95,-79.412003,164.4272,453,98
96,-79.433899,164.377808,435,99
97,-79.453003,164.333801,432,98
98,-79.473495,164.287201,444,92
99,-79.495407,164.243301,429,94
100,-79.517303,164.192505,410,94
101,-79.540604,164.1418,423,93
102,-79.559692,164.085602,399,91
103,-79.576096,164.012894,352,89
104,-79.589798,163.915497,375,91
105,-79.600693,163.804306,354,91
106,-79.608795,163.689102,358,86
107,-79.617004,163.580704,340,84
108,-79.627899,163.4655,347,88
111,-79.653793,163.117096,285,92
115,-79.690598,162.672699,273,90
116,-79.700195,162.560196,284,101
117,-79.709702,162.4478,293,104
120,-79.737,162.095398,274,100
121,-79.746597,161.980194,296,101
122,-79.758896,161.863693,286,103
123,-79.765701,161.756699,312,101
124,-79.775208,161.637497,306,101
125,-79.783401,161.523697,295,98
126,-79.790298,161.409897,310,96
127,-79.799805,161.285095,312,91
128,-79.806595,161.161697,335,84
129,-79.812103,161.053406,319,82
130,-79.818893,160.935501,354,87
131,-79.825699,160.823105,392,92
132,-79.833893,160.702499,453,95
133,-79.842102,160.583298,502,96
134,-79.850296,160.466705,615,99
135,-79.858505,160.355698,636,100
136,-79.868103,160.233704,661,103
137,-79.878998,160.119995,737,102
138,-79.888596,160.013199,772,107
139,-79.898193,159.897995,761,120
140,-79.906403,159.785706,1099,145
152,-79.863403,158.352402,787,723
153,-79.852402,158.250793,1076,768
154,-79.839996,158.136902,1009,814
155,-79.828995,158.043503,1216,849
156,-79.816605,157.943298,1239,884
159,-79.779495,157.645294,9999,1002
161,-79.757507,157.442093,615,1138
162,-79.740997,157.336304,757,1186
163,-79.728607,157.219604,949,1230
164,-79.714905,157.116592,940,1270
165,-79.701096,157.006699,1001,1319
170,-79.633804,156.481995,1150,1530
171,-79.619995,156.376205,1209,1552
172,-79.6035,156.263504,1430,1578
174,-79.576004,156.065704,1258,1609
175,-79.560898,155.9543,962,1614
177,-79.547195,155.719604,282,1786
178,-79.537598,155.602997,423,1844
179,-79.528,155.479401,470,1892
180,-79.519806,155.357193,617,1934
181,-79.510193,155.223999,633,1959
182,-79.501907,155.103195,663,1983
183,-79.490997,154.985107,658,1999
184,-79.4841,154.864304,942,2019
185,-79.473099,154.743393,838,2034
186,-79.464905,154.619904,993,2046
187,-79.456604,154.504501,1302,2052
188,-79.448395,154.382294,1352,2050
189,-79.438904,154.255997,1386,2041
190,-79.430603,154.130997,1399,2036
