CBD,LAT,LON,THK,SRF
0,-80.196106,-161.292999,9999,9999
1,-80.196106,-161.280701,9999,9999
2,-80.196106,-161.280701,9999,9999
3,-80.196106,-161.277893,9999,9999
4,-80.196106,-161.277893,9999,9999
5,-80.196106,-161.277893,9999,9999
6,-80.196106,-161.276596,9999,9999
7,-80.196106,-161.276596,9999,9999
8,-80.194702,-161.271103,9999,9999
9,-80.194702,-161.271103,9999,9999
10,-80.194702,-161.271103,9999,9999
11,-80.194702,-161.264206,9999,9999
12,-80.196106,-161.264206,9999,9999
13,-80.196106,-161.264206,9999,9999
14,-80.196106,-161.264206,9999,9999
15,-80.197403,-161.250504,9999,9999
16,-80.202896,-161.250504,9999,9999
17,-80.211197,-161.2491,9999,9999
18,-80.226303,-161.239502,9999,9999
19,-80.240005,-161.233994,9999,9999
20,-80.255096,-161.216095,9999,9999
21,-80.268906,-161.173599,9999,9999
22,-80.275696,-161.102097,9999,9999
23,-80.266098,-161.018402,9999,9999
24,-80.253799,-161.003296,9999,9999
25,-80.241394,-161.071899,9999,9999
26,-80.227707,-161.141998,9999,9999
27,-80.216705,-161.207901,9999,9999
28,-80.200195,-161.207901,9999,9999
29,-80.186493,-161.155701,9999,9999
30,-80.174103,-161.162598,9999,9999
31,-80.164505,-161.232605,9999,9999
32,-80.168594,-161.332901,9999,9999
33,-80.176804,-161.445496,9999,9999
34,-80.182297,-161.552597,9999,9999
35,-80.189194,-161.665207,9999,9999
36,-80.193298,-161.772293,9999,9999
37,-80.198807,-161.886307,9999,9999
38,-80.207108,-162.008499,9999,9999
39,-80.211197,-162.119797,9999,9999
40,-80.216705,-162.228195,9999,9999
41,-80.220795,-162.350494,9999,9999
42,-80.226303,-162.460297,9999,9999
43,-80.229004,-162.581207,9999,9999
44,-80.2332,-162.700699,9999,9999
45,-80.235901,-162.818802,9999,9999
46,-80.241394,-162.942398,9999,9999
47,-80.245499,-163.070099,9999,9999
48,-80.249603,-163.1978,9999,9999
49,-80.251007,-163.317307,9999,9999
50,-80.253799,-163.438095,9999,9999
51,-80.257904,-163.5672,9999,9999
52,-80.260605,-163.693497,9999,9999
53,-80.264694,-163.818497,9999,9999
54,-80.270203,-163.946198,9999,9999
55,-80.272995,-164.082199,9999,9999
56,-80.2771,-164.220901,9999,9999
57,-80.2798,-164.347198,9999,9999
58,-80.281204,-164.479095,9999,9999
59,-80.283997,-164.621902,9999,9999
60,-80.286697,-164.752304,9999,9999
61,-80.289505,-164.886902,9999,9999
62,-80.292206,-165.026993,9999,9999
63,-80.296295,-165.162994,9999,9999
64,-80.301804,-165.3181,9999,9999
65,-80.301804,-165.472,9999,9999
66,-80.305893,-165.618896,9999,9999
67,-80.308701,-165.767197,9999,9999
68,-80.311401,-165.9142,9999,9999
69,-80.312805,-166.0625,9999,9999
70,-80.315598,-166.225906,9999,9999
71,-80.318298,-166.383804,9999,9999
72,-80.320999,-166.558197,9999,9999
73,-80.322403,-166.721603,9999,9999
74,-80.325195,-166.904297,9999,9999
75,-80.325195,-167.065002,9999,9999
76,-80.326508,-167.229797,9999,9999
77,-80.330704,-167.390396,9999,9999
78,-80.333405,-167.548401,9999,9999
79,-80.337494,-167.704895,9999,9999
80,-80.340302,-167.867004,9999,9999
81,-80.344406,-168.0345,9999,9999
82,-80.345795,-168.191101,9999,9999
83,-80.354004,-168.368195,9999,9999
84,-80.355392,-168.523407,9999,9999
85,-80.360901,-168.689606,9999,9999
86,-80.365005,-168.8461,9999,9999
87,-80.367706,-168.998596,9999,9999
88,-80.373199,-169.164703,9999,9999
89,-80.376007,-169.332306,9999,9999
90,-80.378693,-169.490204,9999,9999
91,-80.384201,-169.650894,9999,9999
92,-80.385605,-169.829407,9999,9999
93,-80.389694,-169.988693,9999,9999
94,-80.392502,-170.156204,9999,9999
95,-80.395203,-170.319702,9999,9999
96,-80.399307,-170.483093,9999,9999
97,-80.400696,-170.642395,9999,9999
98,-80.403397,-170.811295,9999,9999
99,-80.407593,-170.973404,9999,9999
100,-80.408905,-171.153305,9999,9999
101,-80.413101,-171.320801,9999,9999
102,-80.414398,-171.480103,9999,9999
103,-80.417206,-171.638,9999,9999
104,-80.419907,-171.808304,9999,9999
105,-80.421295,-171.973099,9999,9999
106,-80.422699,-172.137894,9999,9999
107,-80.4254,-172.305496,9999,9999
108,-80.4254,-172.4702,9999,9999
109,-80.428207,-172.644699,9999,9999
110,-80.430893,-172.804001,9999,9999
111,-80.430893,-172.979706,9999,9999
112,-80.432297,-173.132202,9999,9999
113,-80.433701,-173.296997,9999,9999
114,-80.436401,-173.461807,9999,9999
115,-80.436401,-173.626602,9999,9999
116,-80.437805,-173.796799,9999,9999
117,-80.437805,-173.961594,9999,9999
118,-80.436401,-174.133301,9999,9999
119,-80.432297,-174.295303,9999,9999
120,-80.430893,-174.465607,9999,9999
121,-80.428207,-174.633194,9999,9999
122,-80.426804,-174.799301,9999,9999
123,-80.4254,-174.960007,9999,9999
124,-80.422699,-175.124802,9999,9999
125,-80.422699,-175.285507,9999,9999
126,-80.419907,-175.455795,9999,9999
127,-80.417206,-175.632904,9999,9999
128,-80.417206,-175.786697,9999,9999
129,-80.417206,-175.962494,9999,9999
130,-80.415802,-176.121796,9999,9999
131,-80.414398,-176.292099,9999,9999
132,-80.413101,-176.451401,9999,9999
133,-80.411697,-176.621704,9999,9999
134,-80.411697,-176.775497,9999,9999
135,-80.410294,-176.934799,9999,9999
136,-80.407593,-177.116104,9999,9999
137,-80.4048,-177.285004,9999,9999
138,-80.403397,-177.449799,9999,9999
139,-80.4021,-177.614594,9999,9999
140,-80.399307,-177.766998,9999,9999
141,-80.399307,-177.937302,9999,9999
142,-80.397903,-178.096603,9999,9999
143,-80.396606,-178.265503,9999,9999
144,-80.392502,-178.419296,9999,9999
145,-80.391098,-178.599197,9999,9999
146,-80.389694,-178.768204,9999,9999
147,-80.386993,-178.927505,9999,9999
148,-80.384201,-179.085403,9999,9999
149,-80.382797,-179.248795,9999,9999
150,-80.380096,-179.413605,9999,9999
151,-80.376007,-179.576996,9999,9999
152,-80.376007,-179.744598,9999,9999
153,-80.370499,-179.9039,9999,9999
154,-80.370499,179.921707,9999,9999
155,-80.366394,179.758301,9999,9999
156,-80.362198,179.590805,9999,9999
157,-80.360901,179.4328,9999,9999
158,-80.355392,179.265305,9999,9999
159,-80.355392,179.1129,9999,9999
160,-80.351303,178.954895,9999,9999
161,-80.348495,178.792892,9999,9999
162,-80.344406,178.629501,9999,9999
163,-80.340302,178.452301,9999,9999
164,-80.338898,178.290298,9999,9999
165,-80.332001,178.128204,9999,9999
166,-80.3293,177.966202,9999,9999
167,-80.325195,177.813705,9999,9999
168,-80.322403,177.653,9999,9999
169,-80.319702,177.496506,9999,9999
170,-80.312805,177.328903,9999,9999
171,-80.308701,177.173798,9999,9999
172,-80.305893,177.002106,9999,9999
173,-80.3004,176.8414,9999,9999
174,-80.296295,176.684906,9999,9999
175,-80.292206,176.5242,9999,9999
176,-80.286697,176.364899,9999,9999
177,-80.283997,176.213806,9999,9999
178,-80.2798,176.047699,9999,9999
179,-80.274399,175.897995,9999,9999
180,-80.268906,175.738693,9999,9999
181,-80.264694,175.589005,9999,9999
182,-80.260605,175.439301,9999,9999
183,-80.255096,175.296494,9999,9999
184,-80.251007,175.152298,9999,9999
185,-80.245499,175.008102,9999,9999
186,-80.240005,174.874893,9999,9999
187,-80.237305,174.730698,9999,9999
188,-80.231796,174.597504,9999,9999
189,-80.227707,174.458801,9999,9999
190,-80.224899,174.304993,9999,9999
191,-80.220795,174.171799,9999,9999
192,-80.218002,174.038498,9999,9999
193,-80.213898,173.908096,9999,9999
194,-80.211197,173.785904,9999,9999
195,-80.207108,173.663605,9999,9999
196,-80.2043,173.5345,9999,9999
197,-80.200195,173.412292,9999,9999
198,-80.194702,173.285995,9999,9999
199,-80.187805,173.155502,9999,9999
200,-80.182297,173.044296,9999,9999
201,-80.178207,172.923401,9999,9999
202,-80.172699,172.808105,9999,9999
203,-80.168594,172.685898,9999,9999
204,-80.164505,172.569107,9999,9999
205,-80.158997,172.453796,9999,9999
206,-80.154907,172.335693,9999,9999
207,-80.149399,172.216202,9999,9999
208,-80.143906,172.085693,9999,9999
209,-80.138397,171.964905,9999,9999
210,-80.132904,171.843994,9999,9999
211,-80.128799,171.724503,9999,9999
212,-80.123306,171.603699,9999,9999
213,-80.116394,171.488297,9999,9999
214,-80.110901,171.370193,9999,9999
215,-80.1082,171.249405,379,57
216,-80.102707,171.1436,345,53
217,-80.095795,171.025497,323,50
218,-80.089005,170.923904,351,54
219,-80.082108,170.819504,355,54
220,-80.076599,170.717896,406,59
221,-80.069702,170.609406,402,59
222,-80.064194,170.510605,393,58
223,-80.057404,170.414398,9999,58
224,-80.050507,170.305893,393,58
225,-80.044998,170.208405,360,54
226,-80.039505,170.101303,366,55
227,-80.033997,170.003799,402,59
228,-80.025803,169.900803,390,58
229,-80.021698,169.799194,381,57
230,-80.014801,169.701706,377,56
231,-80.007904,169.605606,9999,58
232,-80.002396,169.498398,9999,55
