CBD,LAT,LON,TCL,ICE
0,-77.875,166.9133,9999,9999
1,-77.875107,166.913193,9999,9999
2,-77.875,166.917206,9999,9999
3,-77.875,166.917099,9999,9999
4,-77.875,166.917007,9999,9999
5,-77.875,166.916901,9999,9999
6,-77.875,166.916794,9999,9999
7,-77.875,166.916702,9999,9999
8,-77.877808,166.9151,9999,9999
9,-77.877808,166.914993,9999,9999
10,-77.877808,166.914902,9999,9999
11,-77.877808,166.905197,9999,9999
12,-77.879196,166.903702,9999,9999
13,-77.879196,166.899506,9999,9999
14,-77.879196,166.893906,9999,9999
15,-77.880493,166.888306,9999,9999
16,-77.880493,166.888199,9999,9999
17,-77.880493,166.890793,9999,9999
18,-77.880493,166.890701,9999,9999
19,-77.881897,166.890594,9999,9999
20,-77.881897,166.902802,9999,9999
21,-77.880493,166.946701,9999,9999
22,-77.879196,167.000198,9999,9999
23,-77.877808,167.063293,9999,9999
24,-77.875,167.142807,9999,9999
25,-77.869598,167.223801,9999,9999
26,-77.872299,167.303299,9999,9999
27,-77.884705,167.3526,9999,9999
28,-77.897003,167.395004,9999,9999
29,-77.9095,167.441605,9999,9999
30,-77.923203,167.492294,9999,9999
31,-77.936905,167.520905,9999,9999
32,-77.950607,167.555099,9999,9999
33,-77.964401,167.591995,9999,9999
34,-77.978104,167.624802,9999,9999
35,-77.991898,167.665802,9999,9999
36,-78.007004,167.717804,9999,9999
37,-78.020706,167.776703,9999,9999
38,-78.033096,167.849396,9999,9999
39,-78.045502,167.920593,9999,9999
40,-78.056503,167.991898,9999,9999
41,-78.067505,168.068604,9999,9999
42,-78.075699,168.155106,9999,9999
43,-78.088104,168.231796,9999,9999
44,-78.099106,168.300293,9999,9999
45,-78.108704,168.375702,9999,9999
46,-78.121094,168.447006,9999,9999
47,-78.133408,168.519608,9999,9999
48,-78.147202,168.589493,9999,9999
49,-78.160904,168.658005,9999,9999
50,-78.174698,168.731995,9999,9999
51,-78.189804,168.803299,9999,9999
52,-78.202194,168.873093,9999,9999
53,-78.2146,168.947098,9999,9999
54,-78.228302,169.015594,9999,9999
55,-78.243393,169.0896,9999,9999
56,-78.257202,169.167801,9999,9999
57,-78.272293,169.25,9999,9999
58,-78.288803,169.317093,9999,9999
59,-78.299805,169.388397,9999,9999
60,-78.316299,169.460999,9999,9999
61,-78.330002,169.5336,9999,9999
62,-78.342407,169.6008,9999,9999
63,-78.354797,169.673401,9999,9999
64,-78.367096,169.741806,9999,9999
65,-78.383606,169.820007,9999,9999
66,-78.398804,169.893997,9999,9999
67,-78.412506,169.966599,9999,9999
68,-78.4263,170.043396,9999,9999
69,-78.441406,170.124207,9999,9999
70,-78.455093,170.191299,9999,9999
71,-78.468903,170.274902,9999,9999
72,-78.482605,170.348907,9999,9999
73,-78.494995,170.427002,9999,9999
74,-78.511505,170.517502,9999,9999
75,-78.525208,170.594193,9999,9999
76,-78.540405,170.664093,9999,9999
77,-78.555496,170.746307,9999,9999
78,-78.567902,170.821701,9999,9999
79,-78.581604,170.901199,9999,9999
80,-78.593994,170.975204,9999,9999
81,-78.6064,171.060196,9999,9999
82,-78.621506,171.132797,9999,9999
83,-78.635193,171.214996,9999,9999
84,-78.650299,171.295898,9999,9999
85,-78.664093,171.371201,9999,9999
86,-78.676498,171.456207,9999,9999
87,-78.692993,171.531601,9999,9999
88,-78.706696,171.612396,9999,9999
89,-78.720505,171.691895,9999,9999
90,-78.732895,171.782394,9999,9999
91,-78.745193,171.870102,9999,9999
92,-78.760406,171.968796,9999,9999
93,-78.771393,172.057907,9999,9999
94,-78.783707,172.152496,9999,9999
95,-78.797501,172.240204,9999,9999
96,-78.811295,172.330704,9999,9999
97,-78.823593,172.432205,9999,9999
98,-78.837402,172.522705,9999,9999
99,-78.853897,172.622803,9999,9999
100,-78.867599,172.720093,9999,9999
101,-78.885498,172.836594,9999,9999
102,-78.900604,172.9422,9999,9999
103,-78.915802,173.043594,9999,9999
104,-78.929504,173.145096,9999,9999
105,-78.945999,173.251999,9999,9999
106,-78.959793,173.3535,9999,9999
107,-78.976303,173.460403,9999,9999
108,-78.990005,173.572906,9999,9999
109,-79.005203,173.689499,9999,9999
110,-79.018906,173.806,9999,9999
111,-79.034103,173.9198,9999,9999
112,-79.047806,174.028198,9999,9999
113,-79.0616,174.132401,9999,9999
