OID_,Field1,Field2,Field3,Field4,Field5
1,10,-50.436000000000000,67.009000000000000,37,NaN
2,11,-50.445999999999998,67.007000000000005,12,NaN
3,12,-50.460999999999999,67.001999999999995,10,NaN
4,13,-50.472999999999999,66.599000000000004,16,NaN
5,14,-50.484000000000002,66.593000000000004,17,NaN
6,15,-50.500000000000000,66.587999999999994,13,NaN
7,16,-50.512000000000000,66.584999999999994,18,NaN
8,17,-50.529000000000003,66.578999999999994,26,NaN
9,18,-50.540999999999997,66.573999999999998,38,NaN
10,19,-50.554000000000002,66.570999999999998,42,NaN
11,20,-50.567999999999998,66.566000000000003,43,NaN
12,21,-50.582000000000001,66.563000000000002,38,NaN
13,22,-51.005000000000003,66.558999999999997,39,NaN
14,23,-51.026000000000003,66.558000000000007,33,NaN
15,24,-51.045999999999999,66.561000000000007,151,NaN
17,26,-51.066000000000003,66.575000000000003,286,NaN
18,27,-51.058999999999997,66.584999999999994,297,NaN
19,28,-51.042999999999999,66.593000000000004,225,NaN
20,29,-51.023000000000003,66.594999999999999,217,NaN
21,30,-50.598999999999997,66.593000000000004,368,NaN
22,31,-50.579000000000001,66.588999999999999,187,NaN
23,33,-50.542999999999999,66.579999999999998,63,NaN
24,34,-50.529000000000003,66.576999999999998,62,NaN
25,35,-50.503999999999998,66.572000000000003,542,NaN
26,36,-50.481999999999999,66.567999999999998,637,NaN
27,37,-50.457000000000001,66.569999999999993,646,NaN
28,38,-50.432000000000002,66.570999999999998,635,NaN
29,39,-50.412999999999997,66.572000000000003,636,NaN
30,40,-50.387000000000000,66.572999999999993,494,NaN
31,41,-50.360999999999997,66.573999999999998,316,NaN
32,42,-50.343000000000004,66.576999999999998,485,NaN
33,43,-50.317999999999998,66.578999999999994,382,NaN
34,44,-50.295999999999999,66.578999999999994,593,NaN
35,45,-50.271000000000001,66.579999999999998,516,NaN
36,46,-50.246000000000002,66.581000000000003,447,NaN
37,47,-50.226999999999997,66.581000000000003,376,NaN
38,48,-50.204000000000001,66.581999999999994,433,NaN
39,49,-50.182000000000002,66.581999999999994,430,NaN
40,50,-50.158999999999999,66.584999999999994,215,NaN
41,51,-50.134000000000000,66.584999999999994,120,NaN
42,52,-50.109000000000002,66.585999999999999,118,NaN
43,53,-50.087000000000003,66.587000000000003,122,NaN
44,54,-50.067000000000000,66.587999999999994,121,NaN
45,55,-50.042999999999999,66.588999999999999,123,NaN
46,56,-50.018999999999998,66.590999999999994,211,NaN
47,57,-49.595999999999997,66.590999999999994,240,NaN
48,58,-49.573000000000000,66.590999999999994,222,NaN
49,59,-49.552000000000000,66.591999999999999,223,NaN
50,60,-49.526000000000003,66.593000000000004,369,NaN
51,61,-49.499000000000002,66.593999999999994,627,NaN
52,62,-49.478999999999999,66.593999999999994,504,NaN
53,63,-49.454000000000001,66.594999999999999,537,NaN
54,64,-49.435000000000002,66.596000000000004,572,NaN
55,65,-49.408000000000001,66.597999999999999,874,NaN
56,66,-49.381999999999998,66.599000000000004,897,NaN
57,67,-49.359000000000002,66.599000000000004,903,NaN
58,68,-49.335000000000001,67.000000000000000,999,NaN
59,69,-49.314999999999998,67.001000000000005,1001,NaN
60,70,-49.293999999999997,67.007999999999996,1014,NaN
61,71,-49.281999999999996,67.010000000000005,987,NaN
62,72,-49.280999999999999,67.025000000000006,1011,NaN
63,73,-49.286000000000001,67.034999999999997,19,NaN
64,74,-49.290999999999997,67.043000000000006,1044,NaN
65,75,-49.295000000000002,67.054000000000002,1057,NaN
66,76,-49.298999999999999,67.063000000000002,1057,NaN
67,77,-49.302000000000000,67.070999999999998,1853,NaN
68,78,-49.304000000000002,67.081999999999994,1029,209
69,79,-49.305000000000000,67.087999999999994,1018,201
71,81,-49.305000000000000,67.109999999999999,1039,405
72,82,-49.305000000000000,67.117999999999995,1061,340
73,84,-49.305999999999997,67.137000000000000,1041,430
74,85,-49.307000000000002,67.146000000000001,1028,302
75,86,-49.311000000000000,67.156999999999996,1036,555
76,37,-49.308999999999997,67.165000000000006,1032,618
77,88,-49.311999999999998,67.174999999999997,1028,470
78,89,-49.311000000000000,67.183999999999997,1038,473
79,90,-49.313000000000002,67.194999999999993,1032,493
80,91,-49.313000000000002,67.203999999999994,998,538
81,92,-49.316000000000003,67.212000000000003,1010,605
82,93,-49.317999999999998,67.222999999999999,987,680
83,94,-49.317999999999998,67.230000000000004,974,671
84,95,-49.317999999999998,67.239999999999995,960,NaN
85,96,-49.319000000000003,67.251000000000005,939,NaN
86,97,-49.320000000000000,67.260000000000005,941,NaN
87,98,-49.320999999999998,67.268000000000001,970,NaN
88,99,-49.320999999999998,67.277000000000001,951,NaN
89,100,-49.323000000000000,67.287000000000006,941,NaN
90,101,-49.323000000000000,67.296000000000006,944,NaN
91,102,-49.325000000000003,67.305000000000007,977,NaN
92,103,-49.326999999999998,67.313999999999993,944,NaN
93,104,-49.326999999999998,67.322999999999993,944,NaN
94,105,-49.329000000000001,67.334999999999994,952,NaN
95,106,-49.329999999999998,67.344999999999999,949,NaN
96,107,-49.332000000000001,67.352000000000004,901,NaN
97,8,-49.332000000000001,67.361000000000004,914,NaN
98,109,-49.332999999999998,67.369000000000000,925,NaN
99,110,-49.334000000000003,67.379999999999995,926,485
100,111,-49.335000000000001,67.390000000000001,918,436
