LAT,LON,CBD,THK
-82.8586,-56.17651,870,33335
-82.85699,-56.16821,886,33343
-82.8537,-56.15845,901,4329
-82.8521,-56.14697,922,33342
-82.84711,-56.13892,930,33341
-82.8455,-56.13086,957,33340
-82.84061,-56.10107,991,33339
-82.8356,-56.09814,1013,33338
-82.834,-56.07495,1032,33337
-82.8307,-56.0437,1068,33336
-82.82739,-56.01563,1086,33344
-82.82739,-56.00391,1094,33353
-82.8241,-55.98413,1099,33352
-82.8208,-55.95435,1095,33351
-82.82091,-55.94629,1097,33350
-82.8192,-55.91309,1094,33349
-82.8176,-55.87646,1092,33348
-82.8176,-55.875,1094,33347
-82.8177,-55.8501,1095,33346
-82.81599,-55.8103,1095,33345
-82.8177,-55.79883,1096,4330
-82.8111,-55.74414,1096,33354
-82.8111,-55.73267,1097,33361
-82.8112,-55.70605,1097,4333
-82.80791,-55.6731,1097,33360
-82.80791,-55.6582,1098,33359
-82.8063,-55.63501,1098,4332
-82.80299,-55.60205,1095,33357
-82.80299,-55.59692,1098,33358
-82.7981,-55.53076,1092,33356
-82.7998,-55.52563,1091,4331
-82.7981,-55.48755,1089,33355
-82.7982,-55.46606,1086,33362
-82.79491,-55.44946,1083,33373
-82.79491,-55.41626,1079,33372
-82.7916,-55.38818,1077,33371
-82.795,-55.37817,1075,33370
-82.78999,-55.35522,1074,33369
-82.78999,-55.33032,1074,33368
-82.78841,-55.30884,1075,33367
-82.78841,-55.28735,1077,33366
-82.7868,-55.25732,1079,33365
-82.7852,-55.24243,1080,33364
-82.78349,-55.21436,1080,4334
-82.7836,-55.19458,1083,33363
-82.7803,-55.15161,1088,33382
-82.77699,-55.11841,1093,33381
-82.77699,-55.11011,1097,33380
-82.77541,-55.07031,1101,4336
-82.77541,-55.05371,1106,33379
-82.7755,-55.04224,1109,33378
-82.7738,-55.00903,1112,4335
-82.7722,-54.97583,1119,33377
-82.76891,-54.95435,1124,33376
-82.76891,-54.93945,1129,33375
-82.76559,-54.90967,1132,33374
-82.7657,-54.89819,1135,4337
-82.76401,-54.875,1137,33391
-82.76241,-54.84692,1142,33390
-82.7607,-54.83691,1140,33389
-82.7574,-54.80713,1141,33388
-82.7558,-54.79565,1139,4339
-82.75591,-54.77417,1136,33387
-82.7525,-54.7561,1137,33386
-82.7509,-54.73779,1139,4338
-82.75101,-54.7229,1138,33385
-82.746,-54.68994,1139,33384
-82.7444,-54.65015,1129,33383
-82.7411,-54.62695,1124,33392
-82.7394,-54.60376,1121,33401
-82.7395,-54.59229,1119,33400
-82.7395,-54.56567,1119,33399
-82.7346,-54.53247,1116,4340
-82.73289,-54.52612,1112,33398
-82.733,-54.49951,1111,33397
-82.72971,-54.47314,1108,33396
-82.72971,-54.45483,1104,33395
-82.7247,-54.44019,1104,33394
-82.72479,-54.41016,1101,33393
-82.7215,-54.37207,1093,4341
-82.7215,-54.34058,1090,4344
-82.7182,-54.33423,1086,33408
-82.71831,-54.30762,1086,33407
-82.7166,-54.28442,1087,4343
-82.7133,-54.26465,1089,33406
-82.7101,-54.21484,1092,33405
-82.7085,-54.17017,1097,4342
-82.7085,-54.15186,1097,33403
-82.7052,-54.14038,1101,33402
-82.7019,-54.10889,1104,33409
-82.7003,-54.08569,1104,33419
-82.69859,-54.07764,1103,33418
-82.69701,-54.02295,1097,33417
-82.6954,-54.00464,1096,33416
-82.6938,-53.97803,1095,33415
-82.69051,-53.96655,1096,33414
-82.6888,-53.94507,1096,33413
-82.6889,-53.91357,1096,33412
-82.68559,-53.8938,1097,33411
-82.6873,-53.8855,1096,33410
-82.68559,-53.85742,1095,4345
-82.68401,-53.82568,1097,4348
-82.68069,-53.81421,1097,33427
-82.6774,-53.79785,1097,33426
-82.6774,-53.76953,1098,33425
-82.6758,-53.75146,1101,4347
-82.67419,-53.72998,1103,33424
-82.6725,-53.69995,1106,33423
-82.67261,-53.69019,1109,33422
-82.6693,-53.66357,1113,4346
-82.6676,-53.63037,1116,33421
-82.66769,-53.6272,1122,33420
-82.6644,-53.604,1126,33428
-82.6628,-53.57251,1133,33438
-82.6611,-53.55591,1140,33437
-82.65781,-53.53784,1149,33436
-82.6579,-53.52124,1157,33435
-82.6579,-53.50317,1162,33434
-82.65289,-53.47339,1171,33433
-82.65131,-53.44165,1180,33432
-82.6497,-53.42847,1188,33431
-82.6497,-53.4187,1196,33430
-82.6497,-53.38867,1218,4349
-82.64481,-53.37231,1255,33429
-82.64481,-53.35083,1314,33439
-82.6432,-53.3208,1387,4352
-82.6432,-53.31421,1432,33446
-82.63989,-53.28125,1466,33445
-82.63831,-53.24463,1496,33444
-82.6333,-53.21655,1497,4351
-82.63361,-53.18799,1499,33443
-82.6321,-53.16626,1501,33442
-82.6324,-53.14771,1501,4350
-82.631,-53.12085,1483,33441
-82.6295,-53.10571,1435,33440
-82.6264,-53.07397,1380,33447
-82.62331,-53.04907,1342,33456
-82.6236,-53.04053,1315,33455
-82.6205,-53.02539,1300,33454
-82.616,-52.99023,1284,33453
-82.6145,-52.98169,1284,33452
-82.6114,-52.97168,1285,33451
-82.61169,-52.96143,1288,33450
-82.6053,-52.94653,1289,4353
-82.6022,-52.93457,1310,33449
-82.6008,-52.92798,1327,33448
-82.5976,-52.91772,1353,33457
-82.5929,-52.8877,1377,33466
-82.59309,-52.87427,1397,4355
-82.59171,-52.85254,1412,33465
-82.58859,-52.81909,1413,33464
-82.5889,-52.81543,1406,4354
-82.5874,-52.7854,1391,33463
-82.5826,-52.76025,1368,33462
-82.58121,-52.74854,1340,33461
-82.5815,-52.72339,1312,33460
-82.57829,-52.69995,1283,33459
-82.57829,-52.68823,1252,33458
-82.57671,-52.67334,1218,33467
-82.57159,-52.64673,1191,33476
-82.57001,-52.63354,1171,33475
-82.5683,-52.61353,1158,33474
-82.5666,-52.58691,1156,33473
-82.56329,-52.57544,1157,33472
-82.56329,-52.55859,1154,4357
-82.55991,-52.5271,1153,33471
-82.5583,-52.51538,1155,33470
-82.55659,-52.50391,1154,33469
-82.55161,-52.47241,1154,4356
-82.5499,-52.4375,1153,33468
-82.5482,-52.41748,1155,33477
-82.5448,-52.37915,1155,4359
-82.53979,-52.35767,1155,33486
-82.53819,-52.34619,1148,33485
-82.5365,-52.31958,1147,4358
-82.53481,-52.30273,1142,33484
-82.53481,-52.29297,1135,33483
-82.5331,-52.27295,1130,33482
-82.52811,-52.25317,1121,33481
-82.5264,-52.24146,1116,33480
-82.5231,-52.22485,1111,33479
-82.5197,-52.2168,1106,33478
-82.5164,-52.21191,1103,33487
-82.5098,-52.18872,1089,4362
-82.50639,-52.18042,1083,33494
-82.50639,-52.17554,1078,33493
-82.5014,-52.16235,1069,4361
-82.49969,-52.16064,1062,33492
-82.49471,-52.146,1053,33491
-82.4931,-52.146,1049,33490
-82.4897,-52.14111,1042,4360
-82.4881,-52.13965,1035,33489
-82.4864,-52.13452,1028,33488
-82.483,-52.12793,1019,33495
-82.47971,-52.11987,1015,4363
