CBD,LAT,LON,THK,SURF
743,-77.1523,-123.1719,,2230
744,-77.144,-123.12,,2225
745,-77.134,-123.0783,,2218
746,-77.1307,-123.0315,,2214
747,-77.1207,-122.983,,2210
748,-77.1107,-122.9395,,2207
749,-77.1058,-122.8927,,2199
750,-77.0974,-122.8409,,2195
751,-77.0874,-122.7942,,2188
752,-77.0808,-122.754,,2179
753,-77.0725,-122.6989,1667,2173
754,-77.0658,-122.6621,1521,2169
755,-77.0575,-122.6237,1517,2161
756,-77.0509,-122.5735,2144,2146
757,-77.0425,-122.5367,,
758,-77.0376,-122.5016,1899,2143
759,-77.0292,-122.4515,2362,2154
760,-77.0226,-122.4114,2427,2161
761,-77.0159,-122.3762,2372,2167
762,-77.0076,-122.3227,2419,2171
763,-76.9976,-122.2777,2582,2168
764,-76.991,-122.2325,2765,2161
765,-76.981,-122.1773,,2152
766,-76.9727,-122.1272,2569,2148
767,-76.9627,-122.0754,2426,2148
768,-76.956,-122.0202,1971,2148
769,-76.946,-121.9635,1665,2145
770,-76.9361,-121.9117,2193,2145
771,-76.9244,-121.8549,1773,2145
772,-76.9161,-121.803,1586,2140
773,-76.9061,-121.7546,1728,2140
774,-76.8945,-121.6994,2661,2147
775,-76.8845,-121.6443,2359,2154
776,-76.8778,-121.5941,1809,2145
777,-76.8678,-121.5307,1338,2132
778,-76.8579,-121.4789,1519,2128
779,-76.8462,-121.4305,1521,2128
780,-76.8362,-121.3685,1813,2124
781,-76.8246,-121.3168,2187,2123
782,-76.8162,-121.2634,2324,2121
783,-76.8113,-121.1848,2355,2115
784,-76.8096,-121.1146,2433,2109
785,-76.808,-121.0479,2471,2098
786,-76.803,-120.9726,1945,2077
787,-76.7997,-120.9075,1618,2068
788,-76.798,-120.8323,,2076
789,-76.7914,-120.7621,2454,2081
790,-76.788,-120.6937,2414,2076
791,-76.7847,-120.6285,,2066
792,-76.7797,-120.5466,,2053
793,-76.7764,-120.4765,,2041
794,-76.7731,-120.4097,,2031
795,-76.7664,-120.3295,,2020
796,-76.7631,-120.266,,2008
797,-76.7581,-120.1975,,1997
798,-76.7548,-120.1206,,1991
799,-76.7482,-120.0522,,1989
800,-76.7465,-119.987,,1976
801,-76.7415,-119.9102,,1963
802,-76.7348,-119.8367,,1955
803,-76.7332,-119.7649,,1949
804,-76.7282,-119.6914,,1939
805,-76.7232,-119.6228,,1927
806,-76.7199,-119.5594,,1917
807,-76.7132,-119.4808,,1912
808,-76.7099,-119.409,,1912
809,-76.7066,-119.3472,,1909
810,-76.6999,-119.2687,,1897
811,-76.6966,-119.2019,,1892
812,-76.6916,-119.1367,,1895
813,-76.6867,-119.0565,,1898
814,-76.6833,-118.988,,1892
815,-76.6783,-118.9212,,1875
816,-76.6733,-118.8494,,1865
817,-76.6684,-118.7742,1231,1860
818,-76.6651,-118.7091,1200,1846
819,-76.6617,-118.6339,1222,1834
820,-76.6551,-118.5654,863,1817
821,-76.6501,-118.4952,741,1787
822,-76.6434,-118.4151,716,1765
823,-76.6351,-118.3566,559,1759
824,-76.6235,-118.2998,316,1741
825,-76.6168,-118.2263,655,1702
826,-76.6085,-118.1578,950,1684
827,-76.6068,-118.0993,697,1673
828,-76.6052,-118.0308,575,1655
829,-76.6052,-117.964,1040,1640
830,-76.6035,-117.9021,540,1624
831,-76.6035,-117.8286,1121,1596
832,-76.6002,-117.7685,,1570
833,-76.5969,-117.7033,,1565
834,-76.5919,-117.6315,,1571
835,-76.5852,-117.5713,,1578
836,-76.5819,-117.5078,,1600
837,-76.5752,-117.4477,,1599
838,-76.5719,-117.3692,,1592
839,-76.5636,-117.3091,,1590
840,-76.5619,-117.2539,,1589
841,-76.5586,-117.1937,,1585
842,-76.552,-117.1386,,1576
843,-76.5486,-117.0684,,1568
844,-76.5437,-117.005,,1560
845,-76.5403,-116.9482,,1561
846,-76.5353,-116.8796,,1568
847,-76.5287,-116.8229,,1570
848,-76.5254,-116.7526,,1572
849,-76.5187,-116.6875,,1576
850,-76.5154,-116.6307,1967,1573
851,-76.5104,-116.5705,1938,1558
852,-76.5037,-116.5004,,1543
853,-76.5021,-116.4385,,1537
854,-76.4937,-116.3783,,1530
855,-76.4904,-116.3116,2919,1526
856,-76.4854,-116.2531,2954,1524
857,-76.4805,-116.1929,2935,1523
858,-76.4755,-116.1295,3000,1519
859,-76.4705,-116.0676,,1513
860,-76.4671,-116.0041,,1509
861,-76.4605,-115.9356,,1501
862,-76.4572,-115.8872,,1494
863,-76.4522,-115.8203,,1487
864,-76.4455,-115.7552,,1483
865,-76.4422,-115.6917,,1480
866,-76.4355,-115.6333,,1484
867,-76.4289,-115.5664,,1487
868,-76.4256,-115.5046,,1483
869,-76.4189,-115.4427,,1478
870,-76.4156,-115.3726,,1470
871,-76.4073,-115.3108,,1464
872,-76.4023,-115.249,,1462
873,-76.3989,-115.1805,1240,1454
874,-76.3923,-115.1203,1161,1439
875,-76.3856,-115.0551,1244,1431
876,-76.3823,-114.985,1280,1426
877,-76.3739,-114.9215,1343,1420
878,-76.3706,-114.863,1328,1410
879,-76.3656,-114.7895,,1394
880,-76.359,-114.7243,1723,1373
881,-76.354,-114.6592,1746,1363
882,-76.349,-114.5823,1521,1359
883,-76.3424,-114.5256,1444,1354
884,-76.3357,-114.457,1422,1345
885,-76.3307,-114.3802,1408,1332
886,-76.3223,-114.3184,1553,1318
887,-76.3174,-114.2549,1506,1304
888,-76.3107,-114.1781,1663,1289
889,-76.304,-114.1096,1741,1272
890,-76.2991,-114.0461,2284,1264
891,-76.2924,-113.9709,2256,1268
892,-76.2857,-113.9075,2265,1268
893,-76.2791,-113.8406,,1262
894,-76.2741,-113.7621,,1253
895,-76.2674,-113.7003,,
896,-76.2608,-113.6368,2204,1240
897,-76.2541,-113.565,2100,1230
898,-76.2474,-113.5032,1940,1219
899,-76.2441,-113.4414,1623,1212
900,-76.2341,-113.3595,1782,1207
901,-76.2308,-113.2994,1927,1205
902,-76.2241,-113.2375,1908,1201
903,-76.2175,-113.1607,1800,1193
904,-76.2108,-113.0989,1882,1186
905,-76.2075,-113.0387,,1179
906,-76.1975,-112.9636,1698,1170
907,-76.1908,-112.9051,1598,1161
908,-76.1875,-112.845,1448,1153
909,-76.1792,-112.7765,1474,1148
910,-76.1758,-112.7129,1526,1144
911,-76.1658,-112.6528,1594,1138
912,-76.1609,-112.586,1493,1131
913,-76.1558,-112.5242,1254,1131
914,-76.1492,-112.469,781,1132
915,-76.1426,-112.4022,701,1126
916,-76.1359,-112.3437,802,1106
917,-76.1309,-112.2919,837,1087
918,-76.1275,-112.2384,949,1078
919,-76.1226,-112.1933,961,1077
920,-76.1192,-112.1532,942,1082
921,-76.1109,-112.1047,973,1087
922,-76.1076,-112.0613,1028,1085
923,-76.1009,-112.0145,1113,1087
924,-76.0993,-111.9677,1107,1086
925,-76.0959,-111.9192,1101,1077
926,-76.0893,-111.8707,1041,1070
927,-76.0826,-111.819,1068,1069
928,-76.0776,-111.7671,1133,1061
929,-76.0743,-111.7169,1117,1046
930,-76.0676,-111.6702,1056,1035
931,-76.0643,-111.6251,859,1035
932,-76.0593,-111.5832,750,1029
933,-76.0543,-111.5331,1152,1024
934,-76.051,-111.493,1238,1020
935,-76.0444,-111.4429,1280,1010
936,-76.041,-111.3961,1317,1001
937,-76.036,-111.3459,1296,992
938,-76.031,-111.3008,1205,987
939,-76.026,-111.2423,1227,981
940,-76.0194,-111.1989,1239,971
941,-76.016,-111.1487,1263,966
942,-76.0094,-111.0953,1321,964
943,-76.0044,-111.0484,1459,966
944,-75.9977,-110.9933,1652,969
945,-75.9944,-110.9415,1722,970
946,-75.9877,-110.888,1648,971
947,-75.9811,-110.8345,1622,968
948,-75.9761,-110.7794,1630,963
949,-75.9711,-110.7309,1646,956
950,-75.9678,-110.6825,1607,957
951,-75.9594,-110.6257,1867,965
952,-75.9527,-110.5721,1923,964
953,-75.9478,-110.522,1959,959
954,-75.9395,-110.4653,2022,961
955,-75.9378,-110.4168,1882,960
956,-75.9295,-110.3734,1717,949
957,-75.9245,-110.3132,1660,940
958,-75.9178,-110.2613,1675,937
959,-75.9128,-110.2129,1680,937
960,-75.9061,-110.1544,1705,933
961,-75.9028,-110.1076,1679,934
962,-75.8961,-110.0541,1618,934
963,-75.8895,-109.9957,1467,923
964,-75.8828,-109.9522,1474,910
965,-75.8795,-109.8954,1514,909
966,-75.8695,-109.8386,1574,914
967,-75.8662,-109.7918,1574,911
968,-75.8595,-109.745,1525,902
969,-75.8545,-109.6866,1437,887
970,-75.8462,-109.6381,1426,872
971,-75.8429,-109.5846,1318,863
972,-75.8345,-109.5278,1354,867
973,-75.8279,-109.4827,1312,865
974,-75.8246,-109.4309,1236,852
975,-75.8145,-109.3741,1291,844
976,-75.8095,-109.324,1142,839
977,-75.8045,-109.2671,1147,835
978,-75.7979,-109.2187,1171,827
979,-75.7929,-109.1668,1175,804
