CBD,LAT,LON,THK,SRF
499,-70.8705,144.895,3422,2054
500,-70.85539,144.9293,3496,2055
501,-70.8376,144.9649,3511,2053
502,-70.81979,145.0005,3512,2056
503,-70.8006,145.0361,3513,2053
504,-70.78551,145.0703,3514,2047
505,-70.7677,145.1045,3515,2044
506,-70.75259,145.1374,3513,2037
507,-70.73621,145.1716,3485,2031
508,-70.7184,145.2086,3401,2024
509,-70.7005,145.2387,3377,2015
510,-70.6855,145.2729,3334,2006
511,-70.66769,145.3085,3250,1995
512,-70.6498,145.3468,3052,1997
513,-70.63341,145.3797,3192,1997
514,-70.6169,145.4112,3139,1987
515,-70.59911,145.4454,3024,1987
516,-70.584,145.481,2994,1982
517,-70.5676,145.5138,3052,1981
518,-70.5511,145.5495,2965,1972
519,-70.5347,145.5837,3139,1965
523,-70.4648,145.7193,2878,1962
524,-70.44971,145.7562,2673,1937
525,-70.4319,145.7905,2513,1927
526,-70.41541,145.8247,2143,1914
527,-70.39619,145.8603,2035,1909
528,-70.37981,145.8987,2098,1899
529,-70.35921,145.9343,2114,1894
530,-70.3428,145.9685,2622,1882
531,-70.32629,146.0055,2755,1868
532,-70.3085,146.0397,2449,1857
533,-70.2907,146.0726,2311,1857
534,-70.2729,146.1096,2519,1853
535,-70.2565,146.1438,2727,1853
536,-70.2373,146.1794,2361,1852
537,-70.2195,146.2137,2078,1837
538,-70.2002,146.252,1819,1807
539,-70.18381,146.2849,2060,1787
540,-70.1646,146.3205,2416,1782
541,-70.1468,146.3547,2560,1784
542,-70.13029,146.3903,2327,1794
543,-70.1111,146.4246,2254,1781
544,-70.09331,146.4602,2201,1709
545,-70.0755,146.4958,2302,1675
546,-70.0563,146.5341,2510,1669
547,-70.0358,146.5725,2631,1675
548,-70.0166,146.6109,2458,1655
549,-69.99741,146.6451,2540,1643
550,-69.9782,146.6808,2417,1615
551,-69.9603,146.7137,2299,1610
552,-69.94119,146.7479,2086,1568
553,-69.92059,146.7807,1844,1541
554,-69.9014,146.815,1899,1523
555,-69.8808,146.8492,1851,1510
556,-69.8644,146.8821,2064,1505
557,-69.8452,146.9177,2138,1497
558,-69.82739,146.9561,1976,1486
559,-69.8096,146.9904,1898,1461
560,-69.79311,147.0219,1865,1432
561,-69.7753,147.0533,1952,1458
562,-69.75751,147.0876,2100,1453
563,-69.7424,147.1163,1717,1450
564,-69.726,147.1492,1684,1435
565,-69.7054,147.1834,1902,1436
566,-69.689,147.2135,1871,1418
567,-69.6725,147.2478,1948,1402
568,-69.65469,147.2793,1831,1396
569,-69.6396,147.3094,1796,1390
570,-69.62041,147.3423,1713,1349
571,-69.604,147.3738,1693,1346
572,-69.5862,147.4039,2139,1339
573,-69.5697,147.4381,2084,1357
574,-69.5533,147.4683,1774,1340
575,-69.53551,147.4997,1640,1335
576,-69.51759,147.5354,1548,1308
577,-69.50121,147.5655,1423,1270
578,-69.4847,147.5929,1752,1252
579,-69.46831,147.6271,2231,1248
580,-69.4505,147.6586,2323,1258
581,-69.43539,147.6901,2307,1249
582,-69.4176,147.7202,2327,1244
583,-69.3998,147.7531,2287,1234
584,-69.382,147.786,2308,1231
585,-69.36549,147.8175,2286,1220
586,-69.3504,147.8462,2236,1198
587,-69.3313,147.8791,2300,1191
588,-69.31619,147.9106,2359,1185
589,-69.2997,147.9421,2456,1182
590,-69.28191,147.9695,2521,1179
591,-69.2668,148.0024,2588,1179
592,-69.24631,148.0352,2565,1166
593,-69.2312,148.0654,2572,1180
594,-69.2148,148.0927,2507,1181
595,-69.1969,148.1215,2346,1181
596,-69.1805,148.1544,2283,1180
597,-69.16409,148.1859,2221,1183
598,-69.14619,148.2133,2196,1256
599,-69.12981,148.2448,2059,1322
600,-69.1134,148.2749,2043,1395
601,-69.09689,148.3064,1916,1291
602,-69.08051,148.3365,1967,1201
603,-69.0627,148.3694,1971,1109
604,-69.0462,148.3995,1911,1100
605,-69.0311,148.4324,1935,1098
606,-69.0161,148.4598,1768,1085
607,-68.9982,148.4913,1504,1076
608,-68.9818,148.5187,1290,1056
609,-68.96539,148.5474,1228,1039
610,-68.94749,148.5803,969,1025
611,-68.93111,148.6132,936,1009
612,-68.916,148.6433,892,998
613,-68.89819,148.6707,874,984
614,-68.8831,148.7008,930,972
